Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in bunch,Weight of fruit (g),Number of functional leaves (shooting),Number of functional leaves (harvest),Disease development time (days),Average youngest leaf spotted (between weeks 17 to 21),Data for YLS are averaged per replication (per block)
PisangCeylan,A,6,PisangCeylanA6,ratoon,NA,NA,NA,NA,NA,NA,25.11612903,12.4,NA,1.62,NA,7,NA,NA,
PisangCeylan,A,7,PisangCeylanA7,ratoon,NA,NA,NA,NA,NA,NA,25.11612903,12.4,NA,1.62,NA,7,NA,NA,
PisangCeylan,A,8,PisangCeylanA8,ratoon,NA,NA,NA,NA,NA,NA,25.11612903,12.4,NA,1.62,NA,7,NA,NA,
PisangCeylan,A,9,PisangCeylanA9,ratoon,NA,NA,NA,NA,NA,NA,25.11612903,12.4,NA,1.62,NA,7,NA,NA,
PisangCeylan,A,10,PisangCeylanA10,ratoon,NA,NA,NA,NA,NA,NA,25.11612903,12.4,NA,1.62,NA,7,NA,NA,
PisangCeylan,B,1,PisangCeylanB1,ratoon,NA,NA,NA,NA,NA,NA,29.32586207,14.5,NA,1.85,NA,4.5,NA,NA,
PisangCeylan,B,2,PisangCeylanB2,ratoon,NA,NA,NA,NA,NA,NA,29.32586207,14.5,NA,1.85,NA,4.5,NA,NA,
PisangCeylan,B,3,PisangCeylanB3,ratoon,NA,NA,NA,NA,NA,NA,29.32586207,14.5,NA,1.85,NA,4.5,NA,NA,
PisangCeylan,B,4,PisangCeylanB4,ratoon,NA,NA,NA,NA,NA,NA,29.32586207,14.5,NA,1.85,NA,4.5,NA,NA,
PisangCeylan,B,5,PisangCeylanB5,ratoon,NA,NA,NA,NA,NA,NA,29.32586207,14.5,NA,1.85,NA,4.5,NA,NA,
